team,player_number,player_name
Auckland FC,4,N. Pijnaker
Auckland FC,6,L. Verstraete
Auckland FC,10,G. May
Auckland FC,12,A. Paulsen
Auckland FC,14,L. Gillion
Auckland FC,15,F. De Vries
Auckland FC,17,C. Elliott
Auckland FC,22,J. Brimmer
Auckland FC,23,D. Hall
Auckland FC,27,L. Rogerson
Auckland FC,28,F. Gallegos
Newcastle,1,R. Scott
Newcastle,4,P. Cancar
Newcastle,7,E. Adams
Newcastle,14,D. Ingham
Newcastle,15,A. Šušnjar
Newcastle,17,K. Grozos
Newcastle,19,C. Timmins
Newcastle,22,B. Gibson
Newcastle,23,D. Wilmering
Newcastle,33,M. Natta
Newcastle,37,L. Bayliss
Newcastle,39,T. Aquilina
